ground_id,review,review_value
1,"Площадка просто отличная! Оборудование на высоте, здесь все для комфортной игры в футбол. Газон мягкий и хорошо ухоженный, ворота и линии четкие. Приятно, что местоположение тоже удачное — рядом с парком, а до неё легко добраться. Однозначно рекомендую!",5
1,"Отличная футбольная площадка! Новенькое оборудование, а самое главное — расположена в удобном месте, добраться можно быстро. Здесь всегда комфортно тренироваться или играть с друзьями. Если будете рядом, стоит заглянуть!",5
1,"Очень доволен этой площадкой! Местоположение супер — в центре района, удобно добираться, а сама площадка всегда в хорошем состоянии. Отличное качество оборудования, с таким легко работать и получать удовольствие от игры. Приятно, что рядом есть парковка.",5
1,"Идеальное место для футбольных тренировок и игр! Местоположение — просто топ, до неё можно дойти пешком или доехать на автобусе. Площадка в отличном состоянии, оборудование свежее и качественное. Очень люблю сюда приходить.",4
2,"Площадка для воркаута хорошая, есть все необходимые тренажёры: турники, брусья, лестницы и прочее. Но вот с освещением беда. Даже летом, когда темнеет рано, заниматься тут не получится, если только не принести свой фонарь. Очень жаль, потому что площадка реально классная",4
2,"Площадка неплохая для воркаута — есть турники, брусья и ещё несколько тренажёров. Но отсутствие освещения — это огромный минус. Зимой и поздно вечером сюда не зайти, приходится ждать утра или искать другие места. Очень надеюсь, что это исправят!",4
2,"В целом, площадка удобная для тренировки, есть все нужные элементы для воркаута. Однако, как по мне, проблема с освещением серьезно ограничивает её использование. В темное время суток заниматься тут невозможно, приходится искать другие места. Площадку вполне можно было бы оснастить освещением.",2
2,"Мне нравится эта площадка для воркаута, тренажёры в норме, всё работает. Но вот без освещения здесь не очень удобно тренироваться вечером. Такое ощущение, что с этим вопросом вообще не озаботились. Площадка могла бы стать намного удобнее, если бы добавили освещение.",3
3,"Невероятно переполненная площадка, всегда здесь много людей, особенно в выходные. Вечером трудно найти место для игры, и частенько приходится ждать своей очереди. Очень не хватает еще одной баскетбольной площадки в районе — реально тесно!",3
3,"Площадка для баскетбола хорошая, но она уже просто не справляется с потоком людей. В любое время дня тут толпы, играть в баскетбол становится настоящим испытанием. Нужно строить еще одну площадку — такой перегруз только мешает.",4
3,"Площадка хорошая, но это просто невыносимо, сколько людей тут одновременно! В час пик тут на самом деле не протолкнуться, приходится стоять в очереди. Если бы рядом открыли еще одну площадку, было бы намного удобнее.",3
3,"Очень хорошее место для игры в баскетбол, но площадка переполнена. Это проблема, потому что в какой бы момент ты не пришел — всегда много людей. Нужна дополнительная баскетбольная площадка в этом районе, чтобы разгрузить текущую.",3
4,"Дорожки на трассе уже в ужасном состоянии. В некоторых местах покрытие изношено до такой степени, что можно повредить суставы. Реновация однозначно нужна! С таким состоянием трассы бегать небезопасно.",2
4,"Очень разочарован состоянием беговой трассы. Покрытие старое, изношенное, а местами и вовсе в ямах. Бегать по таким дорожкам — это риск для здоровья. Надеюсь, в ближайшее время её отремонтируют.",2
4,"Трасса по факту — это отличное место для бега, но из-за изношенного покрытия бегать стало неудобно. Не раз можно споткнуться о неровности или камни, которые торчат из асфальта. Нужна срочная реновация, чтобы было безопасно и комфортно тренироваться.",1
4,"Беговая трасса оставляет желать лучшего. Покрытие местами совсем изношено, дорожки очень твердые и некомфортные. Надо бы уже привести трассу в порядок, а то бегать здесь не так приятно, как хотелось бы.",2
